,Compound.Name,slope.avg,d_alkane_RTI,inverse_slope,Category
1,"12-OH C18 Acid, TMS",0.00166215,2471,601.6303437,Acid
2,"16-OH C16 Acid, TMS",0.002605333,2430,383.8281228,Acid
3,2-(methylmercapto)benzothiazole,0.063828584,1637,15.66696206,Misc
4,"2-Ketoglutaric acid, tri-TMS",0.484144586,1629,2.065498674,Acid
5,2-mercaptobenzothiazole,0.008323797,2000,120.1374815,Misc
6,3-5-dimethoxyphenol,0.030375376,1525,32.92140309,Alcohol
7,4-Benzoylbenzoic acid,0.000283855,2242,3522.921035,Acid
8,4-Bromodiphenylamine,0.000505371,1993,1978.745103,Misc
9,4-hydroxybenzoic acid,0.017086887,1651,58.52441016,Acid
10,4-nitrocatechol,0.000747574,1770,1337.660812,Misc
11,"4, 4 dimethoxy-benzophenone",0.000781783,2292,1279.126523,Ketone
12,9H-Florenone,0.000203101,1776,4923.66284,Ketone
13,a-Amyrin,0.001751603,3480,570.9057675,Alcohol
14,abietic acid,0.012644468,2468,79.08597034,Acid
15,anthraquinone,0.000662564,2017,1509.287979,Arom
16,arabitol,0.001053494,1744,949.2225396,Alcohol
17,benzophenone,0.001160298,1662,861.8476819,Arom
18,Benzothiazole,0.085018437,1246,11.76215462,Misc
19,"Benzothiazole, 2-phenyl-",0.000454912,2024,2198.22568,Misc
20,beta-sitosterol,0.004119961,3407,242.7207485,Sterol
21,C10 carboxylic acid,0.10111964,1479,9.889275686,Acid
22,C10 diacid (sebacic acid),0.000385977,1923,2590.827758,Acid
23,C12 diacid,0.000556433,2120,1797.162084,Acid
24,C13 acid,0.000407535,1776,2453.775899,Acid
25,C14 Diacid,0.000644266,2318,1552.154201,Acid
26,C16,0.126284155,1627,7.918649814,Alkane
27,C16 Acid,0.000388476,2079,2574.160739,Acid
28,C17,0.005656247,1729,176.7956848,Alkane
29,C17 acid,0.000968875,2177,1032.125243,Acid
30,C18,0.000530462,1831,1885.149496,Alkane
31,C18 Acid,0.000248886,2280,4017.89984,Acid
32,C19,0.000362742,1934,2756.781823,Alkane
33,C20,0.00042199,2035,2369.725548,Alkane
34,C21,0.00037897,2136,2638.731469,Alkane
35,C22,0.000453445,2238,2205.340279,Alkane
36,C22 acid,0.003044489,2683,328.4623238,Acid
37,C23,0.000365574,2342,2735.42161,Alkane
38,C24,0.001115141,2443,896.747194,Alkane
39,C24 acid,0.001385235,2888,721.8993904,Acid
40,C25,0.001555378,2545,642.9307353,Alkane
41,C26,0.002604922,2649,383.8887097,Alkane
42,C26 acid,0.003564075,3091,280.577701,Acid
43,C27,0.002230603,2750,448.3093548,Alkane
44,C28,0.000877634,2852,1139.4265,Alkane
45,C28 acid,0.004051731,3292,246.8080881,Acid
46,C29,0.001279874,2954,781.3266604,Alkane
47,C30,0.001411303,3058,708.5651218,Alkane
48,C31,0.002860276,3160,349.616572,Alkane
49,C32,0.003362321,3261,297.4136447,Alkane
50,C33,0.00376378,3362,265.6903391,Alkane
51,C34,0.00321144,3461,311.3867958,Alkane
52,C35,0.003684658,3565,271.3956219,Alkane
53,C8 acid,0.052198494,1269,19.15764069,Acid
54,C9 acid,0.057052673,1375,17.52766251,Acid
55,C9 Diacid (azelaic acid),0.000284512,1822,3514.793065,Acid
56,Caffeic acid,0.000474792,2168,2106.186113,Acid
57,cholesterol,0.001615952,3209,618.8304513,Sterol
58,chrysene,0.001447985,2527,690.6148204,Arom
59,"cis-Vaccenic Acid, TMS",0.000671712,2258,1488.732298,Acid
60,"Citronellol, TMS",0.356729897,1317,2.803241355,Alcohol
61,DEET,0.00171353,1599,583.5905754,Amide
62,Dehydroabietic acid,0.000684962,2430,1459.934294,Acid
63,dibenz(ah)anthracene,0.005639585,3278,177.3180116,Arom
64,"dimethyl Glutaric Acid, TMS",0.078334289,1456,12.76580166,Acid
65,DL-B-hydroxymyristic acid,0.000353622,2058,2827.882064,Acid
66,dodecyl benzene,0.000480372,1920,2081.718966,Arom
67,DPPA,0.001246438,1954,802.286285,Misc
68,"eicosanol, TMS",0.000406423,2392,2460.489864,Alcohol
69,erythreitol,0.014198905,1529,70.4279682,Alcohol
70,FAME16 (Methyl Palmitate),0.000388657,1958,2572.964162,Acid
71,FAME18 (Methyl Stearate),0.000533547,2161,1874.24967,Acid
72,Farnesol,0.004077905,1804,245.2239579,Alcohol
73,galactosan,0.003743373,1684,267.1387724,Sugar
74,gamma dodecalactone,0.000638704,1708,1565.671252,Sugar
75,hexadecanamide,0.001416337,2212,706.0467423,Amide
76,Hexadecanol,0.000363217,1992,2753.172751,Alcohol
77,"homosalate, TMS",0.000336054,2055,2975.715495,Misc
78,hydroquinone,0.01746523,1419,57.25661775,Arom
79,ionone,0.220027384,1447,4.544888838,Ketone
80,isopimaric acid,0.001393551,2383,717.5913198,Acid
81,ketopinic acid,0.007132192,1529,140.2093511,Acid
82,levoglucosan,0.000947112,1727,1055.841736,Sugar
83,"linoleic Acid, TMS",0.001207842,2245,827.9229844,Acid
84,"Malic acid, 3TMS derivative",0.07966131,1510,12.5531453,Acid
85,maltol,0.516884586,1287,1.934667867,Alcohol
86,mannosan,0.002272558,1706,440.0328574,Sugar
87,MBTCA,0.000300237,1776,3330.702674,Acid
88,Me-OH-glutatric acid,0.031997274,1623,31.25266248,Acid
89,monopalmitin,0.002531799,2629,394.9761378,Alcohol
90,monostearin,0.002940077,2827,340.127197,Alcohol
91,octadecanol,0.000158071,2189,6326.258587,Alcohol
92,octadecanone,0.000545189,2032,1834.227906,Ketone
93,"oleic Acid, TMS",0.000488617,2252,2046.59248,Acid
94,p-anisic acid (4-methozybenzoic acid),0.031235119,1544,32.01524522,Acid
95,pentadecanone,0.000816386,1727,1224.910454,Ketone
96,perylene,0.002798563,2965,357.3262031,Arom
97,phthalic acid,0.002427219,1714,411.994181,Acid
98,phthalimide,0.019849759,1592,50.37844447,Misc
99,pinic acid 1,0.001723155,1692,580.3308155,Acid
100,pinic acid 2,0.002696828,1697,370.8059346,Acid
