"","Compound.Name","slope.avg","d_alkane_RTI","inverse_slope","Category"
"1","12-OH C18 Acid, TMS",0.0016619639577024,2471,601.697765685882,"Acid"
"2","16-OH C16 Acid, TMS",0.00260489414667909,2430,383.892758665405,"Acid"
"3","2-(methylmercapto)benzothiazole",0.0852105602554919,1637,11.7356346091569,"Misc"
"4","2-Ketoglutaric acid, tri-TMS",0.142289552791984,1629,7.02792285433576,"Acid"
"5","2-mercaptobenzothiazole",0.0101644768457611,2000,98.3818464220352,"Misc"
"6","3-5-dimethoxyphenol",0.0419601569997538,1525,23.8321319914477,"Alcohol"
"7","4-Benzoylbenzoic acid",0.000325052782972704,2242,3076.42343761743,"Acid"
"8","4-Bromodiphenylamine",0.00042855775373051,1993,2333.40778762069,"Misc"
"9","4-hydroxybenzoic acid",0.0227328170195607,1651,43.9892688679779,"Acid"
"10","4-nitrocatechol",0.000696079473083702,1770,1436.61756835021,"Misc"
"11","4, 4 dimethoxy-benzophenone",0.000781783492238932,2292,1279.12652278718,"Ketone"
"12","9H-Florenone",0.000182797272570919,1776,5470.54114066191,"Ketone"
"13","a-Amyrin",0.00115701878904583,3480,864.290199491644,"Alcohol"
"14","abietic acid",0.0126422100991453,2468,79.1000934296773,"Acid"
"15","anthraquinone",0.000820782583201849,2017,1218.34943926201,"Arom"
"16","arabitol",0.0012367470792654,1744,808.572760563117,"Alcohol"
"17","benzophenone",0.0053622028532462,1662,186.490520289551,"Arom"
"18","Benzothiazole",0.11918475449234,1246,8.3903348566638,"Misc"
"19","Benzothiazole, 2-phenyl-",0.000476804305048209,2024,2097.2964996591,"Misc"
"20","beta-sitosterol",0.0040722173009353,3407,245.566463206745,"Sterol"
"21","C10 carboxylic acid",0.138468134356829,1479,7.22187819345513,"Acid"
"22","C10 diacid (sebacic acid)",0.000383169607390567,1923,2609.81033127895,"Acid"
"23","C12 diacid",0.000501997577901316,2120,1992.04148390649,"Acid"
"24","C13 acid",0.00046233617724185,1776,2162.92829595486,"Acid"
"25","C14 Diacid",0.000517764213608303,2318,1931.3810682878,"Acid"
"26","C16",0.182012374103779,1627,5.49413195077509,"Alkane"
"27","C16 Acid",0.000387702214051638,2079,2579.29917281001,"Acid"
"28","C17",0.00660930461748866,1729,151.301847603443,"Alkane"
"29","C17 acid",0.000968874665585379,2177,1032.12524335727,"Acid"
"30","C18",0.000528061686313334,1831,1893.71815058484,"Alkane"
"31","C18 Acid",0.000248886244003039,2280,4017.89984016871,"Acid"
"32","C19",0.000359989836626137,1934,2777.85620108641,"Alkane"
"33","C20",0.000421763396151378,2035,2370.9975998986,"Alkane"
"34","C21",0.000378969975448729,2136,2638.73146894005,"Alkane"
"35","C22",0.000453444762893942,2238,2205.34027919492,"Alkane"
"36","C22 acid",0.00303993284671699,2683,328.954634994639,"Acid"
"37","C23",0.00124357990888714,2342,804.130070656165,"Alkane"
"38","C24",0.0011150901537794,2443,896.788476349355,"Alkane"
"39","C24 acid",0.00136361433894457,2888,733.345177914452,"Acid"
"40","C25",0.00155532504964015,2545,642.952417072794,"Alkane"
